rights_id,track_id,owner_name,valid_from,valid_to
R00001,T00595,Johnson-Moore,2023-12-16,2026-04-23
R00002,T00795,"Reed, Rodriguez and Manning",2023-02-26,2024-04-23
R00003,T00899,"Green, Christensen and Nguyen",2024-01-27,2025-11-06
R00004,T00343,Johnson and Sons,2023-03-06,2024-03-15
R00005,T00109,Anderson-Grant,2022-12-12,2025-03-28
R00006,T00630,"Jones, Neal and Brown",2022-06-13,2023-07-21
R00007,T00943,Riley Group,2023-02-08,2024-09-25
R00008,T00073,"Hopkins, Jackson and Martinez",2023-04-19,2024-06-21
R00009,T00453,Kerr and Sons,2023-08-11,2024-01-18
R00010,T00812,"Nelson, Moore and Jackson",2022-07-24,2024-03-04
R00011,T00665,Giles LLC,2022-06-18,2022-12-27
R00012,T00386,George Ltd,2023-02-22,2023-09-21
R00013,T00354,Norton-Wang,2022-05-01,2022-07-16
R00014,T00645,"Edwards, Henderson and Miller",2023-05-10,2024-12-22
R00015,T00598,"Johnson, Larson and Knox",2023-10-11,2025-06-21
R00016,T00672,Johnson Group,2022-12-02,2023-10-16
R00017,T00318,"Mcfarland, Barrera and Weaver",2023-06-24,2024-10-31
R00018,T00092,Sullivan-Coleman,2023-05-07,2025-09-12
R00019,T00422,Gray-Carrillo,2022-04-25,2023-10-03
R00020,T00466,Jacobs Group,2023-12-19,2025-11-29
R00021,T00465,Clark-Hardin,2022-12-15,2024-06-25
R00022,T00919,Holmes LLC,2024-02-13,2025-02-24
R00023,T00304,Whitehead Inc,2023-11-09,2026-03-10
R00024,T00958,Rogers-Perez,2022-04-04,2023-07-29
R00025,T00624,Black-Daniels,2023-11-08,2024-02-24
R00026,T00785,Wolfe LLC,2022-07-23,2023-09-17
R00027,T00898,Zavala-Martinez,2024-02-29,2026-07-09
R00028,T00281,Wilkerson-Fox,2023-02-05,2023-12-12
R00029,T00264,Wilson Ltd,2023-04-07,2025-05-21
R00030,T00483,Brown-Fernandez,2023-06-11,2025-05-24
R00031,T00563,Walker Group,2023-07-19,2025-10-31
R00032,T00490,Scott Ltd,2023-07-07,2025-03-07
R00033,T00981,Scott-Smith,2022-09-01,2024-04-05
R00034,T00031,Boyd-Nunez,2023-07-09,2024-08-14
R00035,T00240,Johnson-Hoffman,2023-08-16,2026-03-21
R00036,T00945,Simpson-Brown,2023-11-12,2026-02-20
R00037,T00195,"Tucker, Rodriguez and Gordon",2023-09-23,2024-01-12
R00038,T00767,Jimenez Ltd,2022-10-12,2025-06-18
R00039,T00147,"Vega, Wolfe and Knox",2023-11-21,2025-04-01
R00040,T00426,Russell-Martinez,2023-12-25,2024-08-25
R00041,T00037,Rios PLC,2023-01-18,2025-04-21
R00042,T00779,"Miller, Thomas and Smith",2022-10-19,2023-09-23
R00043,T00489,Alvarado Inc,2023-09-10,2024-12-14
R00044,T00176,"Guerrero, Reed and Lane",2023-04-18,2024-01-14
R00045,T00756,Nelson Group,2023-12-10,2026-03-08
